edHello.agents.Patient@99fa758 | total wait time: 35 | dealt at time point: 35.0
edHello.agents.Patient@1155d1ee | total wait time: 6 | dealt at time point: 6571.0
edHello.agents.Patient@2ed59bb | total wait time: 6 | dealt at time point: 6673.0
edHello.agents.Patient@4d0540f4 | total wait time: 5 | dealt at time point: 6773.0
edHello.agents.Patient@4f4d087d | total wait time: 4 | dealt at time point: 6873.0
edHello.agents.Patient@31e5a106 | total wait time: 7 | dealt at time point: 6976.0
edHello.agents.Patient@9dad56c | total wait time: 6 | dealt at time point: 7076.0
edHello.agents.Patient@66f20a8a | total wait time: 5 | dealt at time point: 7176.0
edHello.agents.Patient@6fb7326c | total wait time: 6 | dealt at time point: 7279.0
edHello.agents.Patient@52c672ff | total wait time: 7 | dealt at time point: 7380.0
edHello.agents.Patient@52fb98ba | total wait time: 6 | dealt at time point: 7480.0
edHello.agents.Patient@b9f2312 | total wait time: 5 | dealt at time point: 7581.0
edHello.agents.Patient@2d11efa0 | total wait time: 5 | dealt at time point: 7681.0
edHello.agents.Patient@50247620 | total wait time: 6 | dealt at time point: 7783.0
edHello.agents.Patient@706e98da | total wait time: 5 | dealt at time point: 7883.0
edHello.agents.Patient@2451e49b | total wait time: 5 | dealt at time point: 7985.0
edHello.agents.Patient@3dcc1f0e | total wait time: 7 | dealt at time point: 8087.0
edHello.agents.Patient@7e4959c1 | total wait time: 6 | dealt at time point: 8187.0
edHello.agents.Patient@267b5de4 | total wait time: 7 | dealt at time point: 8289.0
edHello.agents.Patient@4aa2834f | total wait time: 6 | dealt at time point: 8389.0
edHello.agents.Patient@7e30e976 | total wait time: 4 | dealt at time point: 8489.0
edHello.agents.Patient@79d530c | total wait time: 4 | dealt at time point: 8590.0
edHello.agents.Patient@1337a40e | total wait time: 5 | dealt at time point: 8692.0
edHello.agents.Patient@42712cd4 | total wait time: 5 | dealt at time point: 8793.0
edHello.agents.Patient@36bc247f | total wait time: 6 | dealt at time point: 8895.0
edHello.agents.Patient@167e66dc | total wait time: 7 | dealt at time point: 8996.0
edHello.agents.Patient@683d58a9 | total wait time: 5 | dealt at time point: 9096.0
edHello.agents.Patient@528ff6e9 | total wait time: 5 | dealt at time point: 9196.0
edHello.agents.Patient@61877933 | total wait time: 6 | dealt at time point: 9299.0
edHello.agents.Patient@f343f6b | total wait time: 5 | dealt at time point: 9398.0
edHello.agents.Patient@51e7036d | total wait time: 6 | dealt at time point: 9501.0
edHello.agents.Patient@6aa117b1 | total wait time: 7 | dealt at time point: 9602.0
edHello.agents.Patient@6547b3c9 | total wait time: 5 | dealt at time point: 9702.0
edHello.agents.Patient@65d0a439 | total wait time: 5 | dealt at time point: 9802.0
edHello.agents.Patient@6d53589b | total wait time: 5 | dealt at time point: 9903.0
edHello.agents.Patient@4ccfb782 | total wait time: 5 | dealt at time point: 10005.0
edHello.agents.Patient@18c9589e | total wait time: 6 | dealt at time point: 10107.0
edHello.agents.Patient@21bedd19 | total wait time: 7 | dealt at time point: 10208.0
edHello.agents.Patient@31bd0ea4 | total wait time: 6 | dealt at time point: 10308.0
edHello.agents.Patient@cf2af12 | total wait time: 5 | dealt at time point: 10409.0
edHello.agents.Patient@414f3d64 | total wait time: 6 | dealt at time point: 10510.0
edHello.agents.Patient@7370e5f4 | total wait time: 6 | dealt at time point: 10611.0
edHello.agents.Patient@6e79bbdc | total wait time: 4 | dealt at time point: 10711.0
edHello.agents.Patient@32377ebf | total wait time: 5 | dealt at time point: 10813.0
edHello.agents.Patient@2e6ed5ba | total wait time: 5 | dealt at time point: 10913.0
edHello.agents.Patient@1a2033d0 | total wait time: 6 | dealt at time point: 11016.0
edHello.agents.Patient@1319b8d9 | total wait time: 6 | dealt at time point: 11116.0
edHello.agents.Patient@56950208 | total wait time: 5 | dealt at time point: 11216.0
edHello.agents.Patient@9eaaad2 | total wait time: 5 | dealt at time point: 11318.0
edHello.agents.Patient@3068434b | total wait time: 5 | dealt at time point: 11418.0
edHello.agents.Patient@13f7d962 | total wait time: 6 | dealt at time point: 11520.0
edHello.agents.Patient@58ee2ec9 | total wait time: 5 | dealt at time point: 11621.0
edHello.agents.Patient@31612962 | total wait time: 5 | dealt at time point: 11721.0
edHello.agents.Patient@5231afaf | total wait time: 5 | dealt at time point: 11823.0
edHello.agents.Patient@6870a8e0 | total wait time: 6 | dealt at time point: 11925.0
edHello.agents.Patient@7479ebe1 | total wait time: 6 | dealt at time point: 12025.0
edHello.agents.Patient@6603d7b1 | total wait time: 6 | dealt at time point: 12126.0
edHello.agents.Patient@358ae53 | total wait time: 6 | dealt at time point: 12228.0
edHello.agents.Patient@14e43bfe | total wait time: 6 | dealt at time point: 12328.0
edHello.agents.Patient@3c4ed25d | total wait time: 5 | dealt at time point: 12429.0
edHello.agents.Patient@1f9f9da9 | total wait time: 6 | dealt at time point: 12531.0
edHello.agents.Patient@632e46d4 | total wait time: 5 | dealt at time point: 12630.0
edHello.agents.Patient@3a83d46 | total wait time: 6 | dealt at time point: 12733.0
edHello.agents.Patient@77ac3deb | total wait time: 5 | dealt at time point: 12833.0
edHello.agents.Patient@53172721 | total wait time: 7 | dealt at time point: 12935.0
edHello.agents.Patient@26e775d0 | total wait time: 6 | dealt at time point: 13035.0
edHello.agents.Patient@71c80ff5 | total wait time: 6 | dealt at time point: 13137.0
edHello.agents.Patient@4679fa02 | total wait time: 6 | dealt at time point: 13238.0
edHello.agents.Patient@67101631 | total wait time: 6 | dealt at time point: 13338.0
edHello.agents.Patient@5e2546f3 | total wait time: 5 | dealt at time point: 13438.0
edHello.agents.Patient@5857b97d | total wait time: 4 | dealt at time point: 13539.0
edHello.agents.Patient@1db33c83 | total wait time: 6 | dealt at time point: 13641.0
edHello.agents.Patient@52979a4c | total wait time: 4 | dealt at time point: 13741.0
edHello.agents.Patient@3d56358c | total wait time: 4 | dealt at time point: 13842.0
edHello.agents.Patient@2df66de7 | total wait time: 5 | dealt at time point: 13944.0
edHello.agents.Patient@3f29f58 | total wait time: 5 | dealt at time point: 14045.0
edHello.agents.Patient@46d8b15d | total wait time: 6 | dealt at time point: 14146.0
edHello.agents.Patient@4a95bdd6 | total wait time: 5 | dealt at time point: 14247.0
edHello.agents.Patient@4bac85ed | total wait time: 6 | dealt at time point: 14349.0
edHello.agents.Patient@22f91749 | total wait time: 5 | dealt at time point: 14448.0
edHello.agents.Patient@21f6de0d | total wait time: 6 | dealt at time point: 14550.0
edHello.agents.Patient@1d56e03d | total wait time: 4 | dealt at time point: 14650.0
edHello.agents.Patient@5ae7aad2 | total wait time: 5 | dealt at time point: 14752.0
edHello.agents.Patient@480fbfc9 | total wait time: 4 | dealt at time point: 14852.0
edHello.agents.Patient@161104be | total wait time: 5 | dealt at time point: 14954.0
edHello.agents.Patient@2842fdca | total wait time: 6 | dealt at time point: 15056.0
edHello.agents.Patient@722a6462 | total wait time: 6 | dealt at time point: 15156.0
edHello.agents.Patient@2253a679 | total wait time: 5 | dealt at time point: 15257.0
edHello.agents.Patient@11a7b5ce | total wait time: 5 | dealt at time point: 15357.0
edHello.agents.Patient@160b391f | total wait time: 5 | dealt at time point: 15458.0
edHello.agents.Patient@43bedb41 | total wait time: 5 | dealt at time point: 15560.0
edHello.agents.Patient@68935a5e | total wait time: 6 | dealt at time point: 15661.0
edHello.agents.Patient@77bbfc8b | total wait time: 6 | dealt at time point: 15762.0
edHello.agents.Patient@78f9fe95 | total wait time: 5 | dealt at time point: 15862.0
edHello.agents.Patient@2b1f35a3 | total wait time: 6 | dealt at time point: 15964.0
edHello.agents.Patient@4cc6e25e | total wait time: 5 | dealt at time point: 16064.0
edHello.agents.Patient@326480e0 | total wait time: 6 | dealt at time point: 16167.0
edHello.agents.Patient@27c0df15 | total wait time: 4 | dealt at time point: 16266.0
edHello.agents.Patient@1225794f | total wait time: 5 | dealt at time point: 16367.0
edHello.agents.Patient@fdd8103 | total wait time: 6 | dealt at time point: 16469.0
edHello.agents.Patient@44a39ca | total wait time: 5 | dealt at time point: 16570.0
edHello.agents.Patient@4fea643c | total wait time: 7 | dealt at time point: 16672.0
edHello.agents.Patient@79dbb6f2 | total wait time: 6 | dealt at time point: 16773.0
edHello.agents.Patient@4b939180 | total wait time: 7 | dealt at time point: 16874.0
edHello.agents.Patient@39d9f5e5 | total wait time: 5 | dealt at time point: 16974.0
edHello.agents.Patient@49c437f9 | total wait time: 6 | dealt at time point: 17075.0
edHello.agents.Patient@640eec26 | total wait time: 5 | dealt at time point: 17176.0
edHello.agents.Patient@6b2349fa | total wait time: 6 | dealt at time point: 17278.0
edHello.agents.Patient@4dc5f52d | total wait time: 5 | dealt at time point: 17378.0
edHello.agents.Patient@22570d28 | total wait time: 5 | dealt at time point: 17479.0
edHello.agents.Patient@303d65b5 | total wait time: 6 | dealt at time point: 17581.0
edHello.agents.Patient@54d06a17 | total wait time: 5 | dealt at time point: 17681.0
edHello.agents.Patient@9b63f22 | total wait time: 5 | dealt at time point: 17781.0
edHello.agents.Patient@13a61046 | total wait time: 5 | dealt at time point: 17883.0
edHello.agents.Patient@679406d7 | total wait time: 7 | dealt at time point: 17985.0
edHello.agents.Patient@4f27c9e7 | total wait time: 6 | dealt at time point: 18085.0
edHello.agents.Patient@569f5404 | total wait time: 6 | dealt at time point: 18186.0
edHello.agents.Patient@47ddbbc2 | total wait time: 6 | dealt at time point: 18288.0
edHello.agents.Patient@3e2b5886 | total wait time: 6 | dealt at time point: 18389.0
edHello.agents.Patient@5fb81b48 | total wait time: 7 | dealt at time point: 18490.0
edHello.agents.Patient@51e079fb | total wait time: 6 | dealt at time point: 18591.0
edHello.agents.Patient@14d01d37 | total wait time: 7 | dealt at time point: 18692.0
edHello.agents.Patient@42db869d | total wait time: 6 | dealt at time point: 18792.0
edHello.agents.Patient@5642651c | total wait time: 6 | dealt at time point: 18893.0
edHello.agents.Patient@c32446 | total wait time: 5 | dealt at time point: 18993.0
edHello.agents.Patient@6939f1ea | total wait time: 5 | dealt at time point: 19095.0
edHello.agents.Patient@3865d66 | total wait time: 5 | dealt at time point: 19196.0
edHello.agents.Patient@7abd9b94 | total wait time: 6 | dealt at time point: 19297.0
edHello.agents.Patient@6c1d6da2 | total wait time: 6 | dealt at time point: 19399.0
edHello.agents.Patient@1b31c712 | total wait time: 5 | dealt at time point: 19499.0
edHello.agents.Patient@7b084dbb | total wait time: 5 | dealt at time point: 19599.0
edHello.agents.Patient@34032821 | total wait time: 5 | dealt at time point: 19700.0
edHello.agents.Patient@6692bc69 | total wait time: 7 | dealt at time point: 19803.0
edHello.agents.Patient@3675dc2f | total wait time: 6 | dealt at time point: 19904.0
edHello.agents.Patient@19b467d1 | total wait time: 5 | dealt at time point: 20004.0
edHello.agents.Patient@4c33037c | total wait time: 5 | dealt at time point: 20105.0
edHello.agents.Patient@11353ff2 | total wait time: 6 | dealt at time point: 20206.0
edHello.agents.Patient@47c7e499 | total wait time: 5 | dealt at time point: 20307.0
edHello.agents.Patient@1cc1e8b4 | total wait time: 6 | dealt at time point: 20409.0
edHello.agents.Patient@3c8125e0 | total wait time: 6 | dealt at time point: 20510.0
edHello.agents.Patient@664f54a0 | total wait time: 4 | dealt at time point: 20609.0
edHello.agents.Patient@4d07e20c | total wait time: 7 | dealt at time point: 20712.0
edHello.agents.Patient@a6d975b | total wait time: 6 | dealt at time point: 20812.0
edHello.agents.Patient@7d426d78 | total wait time: 5 | dealt at time point: 20913.0
edHello.agents.Patient@5344bf5f | total wait time: 6 | dealt at time point: 21014.0
edHello.agents.Patient@24244854 | total wait time: 6 | dealt at time point: 21115.0
edHello.agents.Patient@5c6bc97c | total wait time: 5 | dealt at time point: 21215.0
edHello.agents.Patient@3d1d6f9b | total wait time: 6 | dealt at time point: 21318.0
edHello.agents.Patient@4aeae21b | total wait time: 5 | dealt at time point: 21418.0
edHello.agents.Patient@4a0b842b | total wait time: 5 | dealt at time point: 21519.0
edHello.agents.Patient@3b00149c | total wait time: 7 | dealt at time point: 21621.0
edHello.agents.Patient@6c1a51d0 | total wait time: 5 | dealt at time point: 21721.0
edHello.agents.Patient@79abda3d | total wait time: 5 | dealt at time point: 21821.0
edHello.agents.Patient@5cf0f6 | total wait time: 5 | dealt at time point: 21922.0
edHello.agents.Patient@7dea90ed | total wait time: 6 | dealt at time point: 22024.0
edHello.agents.Patient@49552ac0 | total wait time: 7 | dealt at time point: 22126.0
edHello.agents.Patient@605646d | total wait time: 5 | dealt at time point: 22226.0
edHello.agents.Patient@537e58a7 | total wait time: 5 | dealt at time point: 22327.0
edHello.agents.Patient@20e476d3 | total wait time: 5 | dealt at time point: 22427.0
edHello.agents.Patient@755e1637 | total wait time: 6 | dealt at time point: 22529.0
edHello.agents.Patient@3b47e82d | total wait time: 6 | dealt at time point: 22631.0
edHello.agents.Patient@31c7384b | total wait time: 6 | dealt at time point: 22732.0
edHello.agents.Patient@63d58342 | total wait time: 4 | dealt at time point: 22831.0
edHello.agents.Patient@2c090d25 | total wait time: 5 | dealt at time point: 22933.0
edHello.agents.Patient@7027faca | total wait time: 6 | dealt at time point: 23035.0
edHello.agents.Patient@484ce887 | total wait time: 6 | dealt at time point: 23135.0
edHello.agents.Patient@6b6a471d | total wait time: 6 | dealt at time point: 23237.0
edHello.agents.Patient@5b2cec8e | total wait time: 5 | dealt at time point: 23337.0
edHello.agents.Patient@7656f0c6 | total wait time: 6 | dealt at time point: 23438.0
edHello.agents.Patient@3d6cb8dd | total wait time: 7 | dealt at time point: 23540.0
edHello.agents.Patient@4c2cd6e0 | total wait time: 6 | dealt at time point: 23640.0
edHello.agents.Patient@c0a89d0 | total wait time: 6 | dealt at time point: 23741.0
edHello.agents.Patient@6ed325a5 | total wait time: 6 | dealt at time point: 23843.0
edHello.agents.Patient@37e7a089 | total wait time: 6 | dealt at time point: 23944.0
edHello.agents.Patient@49e50854 | total wait time: 5 | dealt at time point: 24044.0
edHello.agents.Patient@360fbd32 | total wait time: 5 | dealt at time point: 24144.0
edHello.agents.Patient@2f9075d1 | total wait time: 5 | dealt at time point: 24246.0
edHello.agents.Patient@3998ee85 | total wait time: 6 | dealt at time point: 24347.0
edHello.agents.Patient@1fa9f61c | total wait time: 6 | dealt at time point: 24448.0
edHello.agents.Patient@4c2ec448 | total wait time: 5 | dealt at time point: 24548.0
edHello.agents.Patient@5cd2cf52 | total wait time: 7 | dealt at time point: 24651.0
edHello.agents.Patient@4368abb2 | total wait time: 6 | dealt at time point: 24752.0
edHello.agents.Patient@49a64a00 | total wait time: 7 | dealt at time point: 24853.0
edHello.agents.Patient@669cc491 | total wait time: 6 | dealt at time point: 24953.0
edHello.agents.Patient@7c92b76d | total wait time: 5 | dealt at time point: 25053.0
edHello.agents.Patient@a4e0894 | total wait time: 6 | dealt at time point: 25155.0
edHello.agents.Patient@4a9da9e0 | total wait time: 6 | dealt at time point: 25256.0
edHello.agents.Patient@59d3570e | total wait time: 5 | dealt at time point: 25357.0
edHello.agents.Patient@72188a36 | total wait time: 6 | dealt at time point: 25459.0
edHello.agents.Patient@549239f3 | total wait time: 6 | dealt at time point: 25560.0
edHello.agents.Patient@5d24d81b | total wait time: 6 | dealt at time point: 25660.0
edHello.agents.Patient@1c1909d | total wait time: 4 | dealt at time point: 25760.0
edHello.agents.Patient@c317dbc | total wait time: 5 | dealt at time point: 25862.0
edHello.agents.Patient@6572c591 | total wait time: 6 | dealt at time point: 25963.0
edHello.agents.Patient@5a0650d3 | total wait time: 6 | dealt at time point: 26065.0
edHello.agents.Patient@70912633 | total wait time: 5 | dealt at time point: 26165.0
edHello.agents.Patient@11b7c795 | total wait time: 6 | dealt at time point: 26267.0
edHello.agents.Patient@1d6a5345 | total wait time: 4 | dealt at time point: 26366.0
edHello.agents.Patient@4bee2f07 | total wait time: 5 | dealt at time point: 26468.0
edHello.agents.Patient@52972b51 | total wait time: 6 | dealt at time point: 26570.0
edHello.agents.Patient@f7b9b55 | total wait time: 4 | dealt at time point: 26669.0
edHello.agents.Patient@76cd29f4 | total wait time: 7 | dealt at time point: 26772.0
edHello.agents.Patient@66539477 | total wait time: 7 | dealt at time point: 26873.0
edHello.agents.Patient@610705b1 | total wait time: 4 | dealt at time point: 26972.0
edHello.agents.Patient@3399b406 | total wait time: 5 | dealt at time point: 27073.0
edHello.agents.Patient@687f211a | total wait time: 6 | dealt at time point: 27176.0
edHello.agents.Patient@37150a29 | total wait time: 6 | dealt at time point: 27277.0
edHello.agents.Patient@b5ba1a5 | total wait time: 7 | dealt at time point: 27378.0
edHello.agents.Patient@7560893 | total wait time: 5 | dealt at time point: 27477.0
edHello.agents.Patient@40896599 | total wait time: 6 | dealt at time point: 27579.0
edHello.agents.Patient@6dee1a54 | total wait time: 4 | dealt at time point: 27679.0
edHello.agents.Patient@a1cd775 | total wait time: 6 | dealt at time point: 27782.0
edHello.agents.Patient@23dc13c9 | total wait time: 6 | dealt at time point: 27882.0
edHello.agents.Patient@521ad699 | total wait time: 5 | dealt at time point: 27982.0
edHello.agents.Patient@6cfadbda | total wait time: 4 | dealt at time point: 28083.0
edHello.agents.Patient@30ef7b5a | total wait time: 5 | dealt at time point: 28185.0
edHello.agents.Patient@2addd43e | total wait time: 5 | dealt at time point: 28285.0
edHello.agents.Patient@516d09ff | total wait time: 6 | dealt at time point: 28388.0
edHello.agents.Patient@15fa2d2b | total wait time: 4 | dealt at time point: 28487.0
edHello.agents.Patient@58916d83 | total wait time: 7 | dealt at time point: 28590.0
edHello.agents.Patient@3b7997db | total wait time: 5 | dealt at time point: 28689.0
edHello.agents.Patient@6ad4cc55 | total wait time: 7 | dealt at time point: 28792.0
edHello.agents.Patient@791f3746 | total wait time: 5 | dealt at time point: 28892.0
edHello.agents.Patient@5056c4e1 | total wait time: 5 | dealt at time point: 28993.0
edHello.agents.Patient@112bc0e8 | total wait time: 5 | dealt at time point: 29093.0
edHello.agents.Patient@325d859b | total wait time: 6 | dealt at time point: 29195.0
edHello.agents.Patient@48cc8849 | total wait time: 6 | dealt at time point: 29296.0
edHello.agents.Patient@3e53b062 | total wait time: 6 | dealt at time point: 29398.0
edHello.agents.Patient@308c22a3 | total wait time: 6 | dealt at time point: 29499.0
edHello.agents.Patient@4b6eeb57 | total wait time: 4 | dealt at time point: 29598.0
edHello.agents.Patient@b0b78d1 | total wait time: 6 | dealt at time point: 29701.0
edHello.agents.Patient@7104540b | total wait time: 4 | dealt at time point: 29800.0
edHello.agents.Patient@7082efc6 | total wait time: 7 | dealt at time point: 29903.0
edHello.agents.Patient@33254889 | total wait time: 6 | dealt at time point: 30003.0
edHello.agents.Patient@6d24b17 | total wait time: 44 | dealt at time point: 44.0
edHello.agents.Patient@4b2c91dc | total wait time: 18 | dealt at time point: 79.0
edHello.agents.Patient@3ab2f61e | total wait time: 6 | dealt at time point: 128.0
edHello.agents.Patient@33f9999 | total wait time: 37 | dealt at time point: 220.0
edHello.agents.Patient@294b2e48 | total wait time: 36 | dealt at time point: 281.0
edHello.agents.Patient@1b7c7fcf | total wait time: 5 | dealt at time point: 310.0
edHello.agents.Patient@7676c13a | total wait time: 5 | dealt at time point: 372.0
edHello.agents.Patient@4b832521 | total wait time: 5 | dealt at time point: 433.0
edHello.agents.Patient@316471c8 | total wait time: 34 | dealt at time point: 523.0
edHello.agents.Patient@5cbcd417 | total wait time: 6 | dealt at time point: 555.0
edHello.agents.Patient@557cc534 | total wait time: 36 | dealt at time point: 646.0
edHello.agents.Patient@32fe9a37 | total wait time: 5 | dealt at time point: 676.0
edHello.agents.Patient@4d00f1a4 | total wait time: 38 | dealt at time point: 770.0
edHello.agents.Patient@727c43d7 | total wait time: 6 | dealt at time point: 800.0
edHello.agents.Patient@2d3a5360 | total wait time: 37 | dealt at time point: 891.0
edHello.agents.Patient@47d1c2a6 | total wait time: 5 | dealt at time point: 921.0
edHello.agents.Patient@4cb559d3 | total wait time: 5 | dealt at time point: 982.0
edHello.agents.Patient@25f1197b | total wait time: 38 | dealt at time point: 1076.0
edHello.agents.Patient@6e4b066f | total wait time: 5 | dealt at time point: 1103.0
edHello.agents.Patient@775382ae | total wait time: 37 | dealt at time point: 1196.0
edHello.agents.Patient@1bf6b109 | total wait time: 35 | dealt at time point: 1255.0
edHello.agents.Patient@57bfb36a | total wait time: 6 | dealt at time point: 1287.0
edHello.agents.Patient@564523bc | total wait time: 5 | dealt at time point: 1347.0
edHello.agents.Patient@28479f17 | total wait time: 6 | dealt at time point: 1409.0
edHello.agents.Patient@77fd31fb | total wait time: 5 | dealt at time point: 1469.0
edHello.agents.Patient@21ef2851 | total wait time: 6 | dealt at time point: 1532.0
edHello.agents.Patient@17e66753 | total wait time: 35 | dealt at time point: 1621.0
edHello.agents.Patient@4aa805fa | total wait time: 6 | dealt at time point: 1654.0
edHello.agents.Patient@72839c93 | total wait time: 6 | dealt at time point: 1715.0
edHello.agents.Patient@3ccfa435 | total wait time: 38 | dealt at time point: 1807.0
edHello.agents.Patient@60c33ff | total wait time: 6 | dealt at time point: 1836.0
edHello.agents.Patient@37acf6d1 | total wait time: 6 | dealt at time point: 1897.0
edHello.agents.Patient@29b01e45 | total wait time: 6 | dealt at time point: 1959.0
edHello.agents.Patient@caf889b | total wait time: 6 | dealt at time point: 2020.0
edHello.agents.Patient@5295129b | total wait time: 5 | dealt at time point: 2080.0
edHello.agents.Patient@2b3185b4 | total wait time: 7 | dealt at time point: 2142.0
edHello.agents.Patient@3989a987 | total wait time: 6 | dealt at time point: 2203.0
edHello.agents.Patient@5b692995 | total wait time: 6 | dealt at time point: 2263.0
edHello.agents.Patient@212fbf21 | total wait time: 6 | dealt at time point: 2325.0
edHello.agents.Patient@c8d469d | total wait time: 5 | dealt at time point: 2384.0
edHello.agents.Patient@4200bb4f | total wait time: 35 | dealt at time point: 2476.0
edHello.agents.Patient@6eb5799f | total wait time: 35 | dealt at time point: 2536.0
edHello.agents.Patient@fe5de77 | total wait time: 7 | dealt at time point: 2569.0
edHello.agents.Patient@5a4d9e2c | total wait time: 36 | dealt at time point: 2659.0
edHello.agents.Patient@53a67cea | total wait time: 35 | dealt at time point: 2720.0
edHello.agents.Patient@1803a33b | total wait time: 5 | dealt at time point: 2750.0
edHello.agents.Patient@7ca88e95 | total wait time: 34 | dealt at time point: 2840.0
edHello.agents.Patient@2a0534c0 | total wait time: 5 | dealt at time point: 2873.0
edHello.agents.Patient@6dfc9782 | total wait time: 5 | dealt at time point: 2934.0
edHello.agents.Patient@87487ad | total wait time: 6 | dealt at time point: 2996.0
edHello.agents.Patient@39218b9a | total wait time: 6 | dealt at time point: 3057.0
edHello.agents.Patient@262cfa2b | total wait time: 6 | dealt at time point: 3118.0
