Time point: 267.0 | correctWork: 1.0
Time point: 23994.0 | stress: 77.0
Time point: 24115.0 | mistakes: 27.0
Time point: 24115.0 | stress: 85.0
Time point: 24482.0 | mistakes: 28.0
Time point: 24482.0 | stress: 93.0
Time point: 24754.0 | mistakes: 29.0
Time point: 24754.0 | stress: 101.0
Time point: 24782.0 | stress: 91.0
Time point: 24783.0 | stress: 81.0
Time point: 24784.0 | stress: 71.0
Time point: 24785.0 | stress: 61.0
Time point: 24786.0 | stress: 51.0
Time point: 24787.0 | stress: 41.0
Time point: 24788.0 | stress: 31.0
Time point: 24789.0 | stress: 21.0
Time point: 24790.0 | stress: 11.0
Time point: 24791.0 | stress: 1.0
Time point: 25368.0 | correctWork: 69.0
Time point: 25368.0 | stress: 2.0
