Time point: 514.0 | correctWork: 1.0
Time point: 8625.0 | stress: 6.0
Time point: 8807.0 | correctWork: 26.0
Time point: 8807.0 | stress: 7.0
Time point: 8958.0 | correctWork: 27.0
Time point: 8958.0 | stress: 8.0
Time point: 9080.0 | correctWork: 28.0
Time point: 9080.0 | stress: 9.0
Time point: 9144.0 | correctWork: 29.0
Time point: 9144.0 | stress: 10.0
Time point: 9414.0 | correctWork: 30.0
Time point: 9414.0 | stress: 11.0
Time point: 9537.0 | correctWork: 31.0
Time point: 9537.0 | stress: 12.0
Time point: 9874.0 | correctWork: 32.0
Time point: 9874.0 | stress: 13.0
Time point: 9964.0 | correctWork: 33.0
Time point: 9964.0 | stress: 14.0
Time point: 10085.0 | correctWork: 34.0
Time point: 10085.0 | stress: 15.0
Time point: 10362.0 | correctWork: 35.0
Time point: 10362.0 | stress: 16.0
Time point: 10909.0 | correctWork: 36.0
Time point: 10909.0 | stress: 17.0
Time point: 11063.0 | correctWork: 37.0
Time point: 11063.0 | stress: 18.0
Time point: 11307.0 | correctWork: 38.0
Time point: 11307.0 | stress: 19.0
Time point: 11398.0 | correctWork: 39.0
Time point: 11398.0 | stress: 20.0
Time point: 11490.0 | correctWork: 40.0
Time point: 11490.0 | stress: 21.0
Time point: 11674.0 | mistakes: 11.0
Time point: 11674.0 | stress: 29.0
Time point: 11766.0 | correctWork: 41.0
Time point: 11766.0 | stress: 30.0
Time point: 11980.0 | correctWork: 42.0
Time point: 11980.0 | stress: 31.0
Time point: 12346.0 | correctWork: 43.0
Time point: 12346.0 | stress: 32.0
Time point: 12589.0 | correctWork: 44.0
Time point: 12589.0 | stress: 33.0
Time point: 12708.0 | correctWork: 45.0
Time point: 12708.0 | stress: 34.0
Time point: 12862.0 | mistakes: 12.0
Time point: 12862.0 | stress: 42.0
Time point: 13076.0 | correctWork: 46.0
Time point: 13076.0 | stress: 43.0
Time point: 13259.0 | correctWork: 47.0
Time point: 13259.0 | stress: 44.0
Time point: 13472.0 | correctWork: 48.0
Time point: 13472.0 | stress: 45.0
Time point: 13626.0 | mistakes: 13.0
Time point: 13626.0 | stress: 53.0
Time point: 13746.0 | correctWork: 49.0
Time point: 13746.0 | stress: 54.0
Time point: 14084.0 | correctWork: 50.0
Time point: 14084.0 | stress: 55.0
Time point: 14172.0 | mistakes: 14.0
Time point: 14172.0 | stress: 63.0
Time point: 14357.0 | correctWork: 51.0
Time point: 14357.0 | stress: 64.0
Time point: 14570.0 | mistakes: 15.0
Time point: 14570.0 | stress: 72.0
Time point: 14782.0 | mistakes: 16.0
Time point: 14782.0 | stress: 80.0
Time point: 14874.0 | mistakes: 17.0
Time point: 14874.0 | stress: 88.0
Time point: 15334.0 | mistakes: 18.0
Time point: 15334.0 | stress: 96.0
Time point: 15455.0 | mistakes: 19.0
Time point: 15455.0 | stress: 104.0
Time point: 15483.0 | stress: 94.0
Time point: 15484.0 | stress: 84.0
Time point: 15485.0 | stress: 74.0
Time point: 15486.0 | stress: 64.0
Time point: 15487.0 | stress: 54.0
Time point: 15488.0 | stress: 44.0
Time point: 15489.0 | stress: 34.0
Time point: 15490.0 | stress: 24.0
Time point: 15491.0 | stress: 14.0
Time point: 15492.0 | stress: 4.0
Time point: 15576.0 | correctWork: 52.0
Time point: 15576.0 | stress: 5.0
Time point: 15670.0 | mistakes: 20.0
Time point: 15670.0 | stress: 13.0
Time point: 15821.0 | correctWork: 53.0
Time point: 15821.0 | stress: 14.0
Time point: 15942.0 | correctWork: 54.0
Time point: 15942.0 | stress: 15.0
Time point: 16066.0 | correctWork: 55.0
Time point: 16066.0 | stress: 16.0
Time point: 16370.0 | mistakes: 21.0
Time point: 16370.0 | stress: 24.0
Time point: 16553.0 | correctWork: 56.0
Time point: 16553.0 | stress: 25.0
Time point: 16676.0 | correctWork: 57.0
Time point: 16676.0 | stress: 26.0
Time point: 16921.0 | correctWork: 58.0
Time point: 16921.0 | stress: 27.0
Time point: 17131.0 | correctWork: 59.0
Time point: 17131.0 | stress: 28.0
Time point: 17223.0 | correctWork: 60.0
Time point: 17223.0 | stress: 29.0
Time point: 17772.0 | correctWork: 61.0
Time point: 17772.0 | stress: 30.0
Time point: 17926.0 | correctWork: 62.0
Time point: 17926.0 | stress: 31.0
Time point: 18200.0 | correctWork: 63.0
Time point: 18200.0 | stress: 32.0
Time point: 18473.0 | mistakes: 22.0
Time point: 18473.0 | stress: 40.0
Time point: 18870.0 | mistakes: 23.0
Time point: 18870.0 | stress: 48.0
Time point: 18963.0 | mistakes: 24.0
Time point: 18963.0 | stress: 56.0
Time point: 19266.0 | correctWork: 64.0
Time point: 19266.0 | stress: 57.0
Time point: 19846.0 | correctWork: 65.0
Time point: 19846.0 | stress: 58.0
Time point: 20030.0 | correctWork: 66.0
Time point: 20030.0 | stress: 59.0
Time point: 20242.0 | correctWork: 67.0
Time point: 20242.0 | stress: 60.0
Time point: 21097.0 | correctWork: 68.0
Time point: 21097.0 | stress: 61.0
Time point: 21189.0 | mistakes: 25.0
Time point: 21189.0 | stress: 69.0
Time point: 21279.0 | correctWork: 69.0
Time point: 21279.0 | stress: 70.0
Time point: 21495.0 | mistakes: 26.0
Time point: 21495.0 | stress: 78.0
Time point: 21646.0 | mistakes: 27.0
Time point: 21646.0 | stress: 86.0
Time point: 21740.0 | mistakes: 28.0
Time point: 21740.0 | stress: 94.0
Time point: 22045.0 | mistakes: 29.0
Time point: 22045.0 | stress: 102.0
Time point: 22073.0 | stress: 92.0
Time point: 22074.0 | stress: 82.0
Time point: 22075.0 | stress: 72.0
Time point: 22076.0 | stress: 62.0
Time point: 22077.0 | stress: 52.0
Time point: 22078.0 | stress: 42.0
Time point: 22079.0 | stress: 32.0
Time point: 22080.0 | stress: 22.0
Time point: 22081.0 | stress: 12.0
Time point: 22082.0 | stress: 2.0
Time point: 22226.0 | correctWork: 70.0
Time point: 22226.0 | stress: 3.0
Time point: 22376.0 | correctWork: 71.0
Time point: 22376.0 | stress: 4.0
Time point: 22655.0 | mistakes: 30.0
Time point: 22655.0 | stress: 12.0
Time point: 22987.0 | mistakes: 31.0
Time point: 22987.0 | stress: 20.0
Time point: 23139.0 | correctWork: 72.0
Time point: 23139.0 | stress: 21.0
Time point: 23265.0 | correctWork: 73.0
Time point: 23265.0 | stress: 22.0
Time point: 24055.0 | correctWork: 74.0
Time point: 24055.0 | stress: 23.0
Time point: 24177.0 | mistakes: 32.0
Time point: 24177.0 | stress: 31.0
Time point: 24545.0 | correctWork: 75.0
Time point: 24545.0 | stress: 32.0
Time point: 25063.0 | correctWork: 76.0
Time point: 25063.0 | stress: 33.0
